Time [s],Pore pressure [MPa],Pump rate [mL/min],Pump volume [mL],SGV1,SGV2,SGH1,SGH2,Fault slip [mm],shear stress [Mpa],Effective normal stress [Mpa],Friction,Diff_stress [Mpa],Axial_shortening [mm],porosity_reduction
2003.1266,5,-0.0010395,87.333602,0,0,0,0,-0.000101057,0.012554844,30.00790292,0.000418385,0.028994207,-8.75E-05,0
2003.2236,5,-0.000150333,87.333602,1.75E-06,2.71E-07,2.71E-07,6.18E-07,-1.43E-07,0.01336749,30.00870242,0.000445454,0.030870896,1.01E-04,0
2003.3207,5,0.0014795,87.33360738,1.84E-06,3.65E-07,3.39E-07,-7.12E-08,0.000206343,0.014251834,30.00935325,0.000474913,0.032913115,2.89E-04,-2.74E-08
2003.4177,5,0.0022,87.33361,2.35E-07,-3.46E-07,2.50E-07,1.24E-07,0.000556618,0.01520712,30.01038737,0.000506729,0.03511909,4.76E-04,-4.07E-08
2003.5149,5,0.0022,87.33361465,7.92E-07,8.40E-07,-2.26E-07,-2.70E-08,0.000671756,0.016232506,30.0113832,0.000540878,0.037487045,6.63E-04,-6.44E-08
2003.6119,5,0.0022,87.3336204,7.23E-07,7.39E-07,-3.20E-07,-9.62E-07,0.000896879,0.017327291,30.0121156,0.000577343,0.040015207,8.50E-04,-9.37E-08
2003.709,5,0.003955833,87.33362527,4.94E-07,9.41E-07,-3.99E-07,-5.37E-07,0.001113397,0.018490683,30.01283273,0.000616093,0.042701799,1.04E-03,-1.18E-07
2003.806,5,0.0065,87.33363347,1.36E-06,1.55E-06,5.21E-07,-1.28E-07,0.001242369,0.019721896,30.01352709,0.0006571,0.045545048,1.22E-03,-1.60E-07
2003.9031,5,0.0065,87.3336461,1.60E-06,1.64E-06,2.00E-07,-6.77E-07,0.001437297,0.021020198,30.01434496,0.000700338,0.048543179,1.41E-03,-2.25E-07
2004.0002,5,0.0065,87.33364934,1.31E-06,1.43E-06,-7.84E-07,-5.54E-07,0.001678604,0.022384817,30.01465857,0.000745796,0.051694416,1.59E-03,-2.41E-07
2004.0973,5,0.002312917,87.33366031,2.27E-06,1.89E-06,-1.66E-07,-9.55E-07,0.001809661,0.023814942,30.01527072,0.000793428,0.054996986,1.78E-03,-2.97E-07
2004.1943,5,0,87.333666,1.74E-06,2.00E-06,-5.85E-07,-1.38E-06,0.00204622,0.025309868,30.01615455,0.000843208,0.058449114,1.96E-03,-3.26E-07
2004.2914,5,0,87.333666,2.13E-06,2.14E-06,8.40E-09,-1.25E-06,0.002227168,0.026868777,30.0167224,0.000895127,0.062049024,2.14E-03,-3.26E-07
2004.3884,5,0,87.333666,2.96E-06,3.09E-06,1.58E-07,-5.24E-07,0.002335908,0.028490893,30.01757822,0.00094914,0.065794942,2.33E-03,-3.26E-07
2004.4856,5,-0.001216,87.333666,2.45E-06,2.23E-06,-3.68E-07,-5.90E-07,0.002625417,0.030175539,30.01868975,0.001005225,0.069685093,2.51E-03,-3.26E-07
2004.5826,5,-0.0032,87.33366449,2.25E-06,2.75E-06,-2.50E-07,-8.27E-07,0.002816977,0.031921847,30.01979947,0.00106336,0.073717703,2.69E-03,-3.18E-07
2004.6797,5,-0.0032,87.33365802,2.04E-06,2.53E-06,-1.12E-06,-1.23E-06,0.003051275,0.033729101,30.02094731,0.001123519,0.077890997,2.87E-03,-2.85E-07
2004.7767,5,-0.0032,87.33365155,1.53E-06,3.79E-06,-4.59E-07,-1.50E-06,0.003217064,0.035596487,30.02201794,0.001185679,0.082203199,3.05E-03,-2.52E-07
2004.8738,5,-0.0032,87.33364754,2.47E-06,2.65E-06,-1.05E-06,-1.49E-06,0.003437285,0.037523291,30.02320892,0.001249809,0.086652536,3.23E-03,-2.32E-07
2004.9709,5,-0.0014185,87.333646,2.30E-06,3.66E-06,-7.13E-07,-1.35E-06,0.003596915,0.03950869,30.02475718,0.00131587,0.091237232,3.41E-03,-2.24E-07
2005.068,5,-0.0011,87.33364013,2.09E-06,4.13E-06,-7.29E-07,-1.67E-06,0.003790181,0.041551961,30.02655295,0.001383841,0.095955514,3.59E-03,-1.94E-07
2005.165,5,-0.0011,87.333638,2.76E-06,4.96E-06,1.19E-07,-1.46E-06,0.003911157,0.043652281,30.02799069,0.00145372,0.100805605,3.77E-03,-1.83E-07
2005.2621,5,-0.000714083,87.333638,2.94E-06,4.62E-06,-7.20E-07,-1.53E-06,0.004126632,0.045808972,30.02929189,0.001525476,0.105785731,3.95E-03,-1.83E-07
2005.3591,5,0.000350167,87.33363927,4.20E-06,5.36E-06,-6.00E-07,-1.72E-06,0.00421703,0.04802114,30.03053537,0.001599077,0.110894118,4.13E-03,-1.90E-07
2005.4563,5,0.002132167,87.33364575,3.74E-06,5.89E-06,-5.56E-07,-1.90E-06,0.004419329,0.050288158,30.03193439,0.001674489,0.11612899,4.31E-03,-2.23E-07
2005.5533,5,0.0022,87.33364911,3.77E-06,5.85E-06,-6.09E-07,-1.82E-06,0.004625642,0.052609194,30.03214339,0.001751763,0.121488574,4.49E-03,-2.40E-07
2005.6504,5,0.0022,87.33365,3.84E-06,6.36E-06,-1.03E-06,-2.13E-06,0.004797474,0.054983455,30.03324076,0.001830753,0.126971094,4.66E-03,-2.44E-07
2005.7474,5,0.0022,87.33365632,4.19E-06,6.82E-06,-6.00E-07,-2.12E-06,0.00495438,0.057410183,30.03471176,0.001911461,0.132574775,4.84E-03,-2.77E-07
2005.8445,5,-0.012235417,87.33361857,4.67E-06,7.27E-06,-1.92E-07,-1.46E-06,0.005105954,0.059888616,30.03547439,0.001993929,0.138297844,5.02E-03,-8.44E-08
2005.9417,5,-0.0183,87.333602,4.22E-06,6.41E-06,-5.15E-07,-1.47E-06,0.005384827,0.062418091,30.03674993,0.002078057,0.144138524,5.19E-03,0
2006.0387,5,-0.0183,87.33358007,3.87E-06,7.53E-06,2.17E-07,-2.07E-06,0.005543625,0.064997647,30.03826131,0.002163829,0.150095041,5.37E-03,1.12E-07
2006.1357,5,-0.0183,87.33353086,4.07E-06,6.55E-06,-1.80E-09,-2.27E-06,0.005791538,0.067626684,30.03982689,0.002251234,0.156165621,5.55E-03,3.62E-07
2006.2328,5,-0.0183,87.33351144,3.89E-06,7.62E-06,-4.26E-07,-2.28E-06,0.00594313,0.070304278,30.04168473,0.002340224,0.162348489,5.72E-03,4.61E-07
2006.3298,5,-0.0183,87.33347306,4.46E-06,7.92E-06,-8.00E-07,-1.89E-06,0.006095151,0.073029739,30.04325674,0.00243082,0.16864187,5.90E-03,6.57E-07
2006.427,5,-0.0183,87.33344437,6.49E-06,9.02E-06,-2.40E-07,-1.89E-06,0.006116133,0.075802174,30.04460217,0.002522988,0.175043989,6.07E-03,8.03E-07
2006.524,5,-0.0183,87.33342173,5.49E-06,9.22E-06,-4.75E-07,-2.04E-06,0.006363957,0.078621157,30.04634017,0.002616663,0.181553072,6.25E-03,9.18E-07
2006.6211,5,-0.017556583,87.33339637,7.21E-06,1.03E-05,-3.97E-07,-2.00E-06,0.006405066,0.081485495,30.04841231,0.002711807,0.188167343,6.42E-03,1.05E-06
2006.7181,5,-0.0172,87.33337244,6.14E-06,1.07E-05,-7.78E-07,-2.50E-06,0.006640947,0.084394829,30.05038906,0.002808444,0.194885028,6.59E-03,1.17E-06
2006.8152,5,-0.0172,87.33334157,6.40E-06,1.05E-05,-8.76E-07,-2.62E-06,0.006837043,0.087348151,30.05208535,0.002906559,0.201704353,6.77E-03,1.33E-06
