Time [s],pore pressure [Mpa],Pump Rate [mL/min],Pump Volume [mL],SGV1,SGV2,fault slip [mm],shear stress [Mpa],effective normal stress [Mpa],friction,Axial_shortening [mm],DiffStress [Mpa],porosity_reduction
1906.208,5,-0.0216,80.25316467,1.80E-05,1.68E-05,0,0.180392299,30.12819734,0.005987491,0,0.44344492,1.70E-09
1906.3076,5,-0.024022333,80.25313147,1.77E-05,1.68E-05,0.000116489,0.181891919,30.12911513,0.006037081,7.94E-05,0.450138579,1.71E-07
1906.4072,5,-0.0259,80.25309827,2.27E-05,1.86E-05,-0.00017373,0.183442856,30.12988105,0.006088403,0.000161244,0.45600494,3.40E-07
1906.5068,5,-0.0259,80.25306328,1.92E-05,1.67E-05,0.000238607,0.184996018,30.13096178,0.006139732,0.000248671,0.460034785,5.18E-07
1906.6064,5,-0.0259,80.25302173,2.38E-05,1.61E-05,0.000108801,0.186567207,30.13181098,0.006191702,0.000352259,0.45871454,7.30E-07
1906.7061,5,-0.029626417,80.25296449,2.17E-05,1.61E-05,0.000333718,0.188117881,30.13280663,0.006242959,0.000451593,0.458835905,1.02E-06
1906.8057,5,-0.0356,80.25291715,2.24E-05,1.55E-05,0.00043351,0.189600305,30.13370704,0.006291967,0.000561372,0.455466056,1.26E-06
1906.9053,5,-0.0356,80.25286753,2.16E-05,1.62E-05,0.000535996,0.191236382,30.13469736,0.006346053,0.000637611,0.463199491,1.52E-06
1907.0049,5,-0.0356,80.25282105,1.66E-05,1.55E-05,0.000972503,0.193267158,30.13606462,0.006413152,0.000757958,0.456331449,1.75E-06
1907.1045,5,-0.0356,80.25276612,1.79E-05,1.55E-05,0.000985591,0.195653476,30.13744821,0.006492039,0.00084252,0.461309753,2.03E-06
1907.2041,5,-0.0334,80.25268217,1.85E-05,1.73E-05,0.000949295,0.198153367,30.13887532,0.006574677,0.000915802,0.470022002,2.46E-06
1907.3037,5,-0.0334,80.25258921,1.96E-05,1.74E-05,0.000968511,0.200674183,30.14033929,0.006657994,0.001017098,0.469460708,2.93E-06
1907.4033,5,-0.0334,80.2525379,2.61E-05,1.82E-05,0.000647565,0.203217652,30.14166454,0.006742085,0.001085636,0.47974357,3.19E-06
1907.5029,5,-0.020400667,80.25250313,1.97E-05,1.74E-05,0.001159931,0.205609981,30.1432744,0.00682109,0.001075311,0.516133282,3.37E-06
1907.6025,5,-0.0086,80.25248175,2.47E-05,1.80E-05,0.000926957,0.20792548,30.14450729,0.006897624,0.001205125,0.506131042,3.48E-06
1907.7021,5,-0.0086,80.25247105,1.88E-05,1.73E-05,0.001406924,0.210134711,30.14599697,0.006970568,0.001286202,0.512263102,3.53E-06
1907.8018,5,-0.0086,80.2524574,2.36E-05,1.80E-05,0.001187925,0.212272726,30.14713363,0.007041224,0.001412174,0.503565775,3.60E-06
1907.9014,5,-0.012326,80.2524311,2.15E-05,1.69E-05,0.001474109,0.214320834,30.14844382,0.007108852,0.001551618,0.490375859,3.74E-06
1908.001,5,-0.0194,80.2524124,2.72E-05,1.86E-05,0.001138628,0.216203997,30.14938135,0.007171092,0.001635697,0.495513827,3.83E-06
1908.1006,5,-0.0194,80.25238582,2.30E-05,1.84E-05,0.001494136,0.218150348,30.15066372,0.007235341,0.001688394,0.511040947,3.97E-06
1908.2002,5,-0.0194,80.25235594,2.44E-05,1.84E-05,0.00151404,0.220038495,30.15176273,0.007297699,0.001760736,0.520064426,4.12E-06
1908.2998,5,-0.0194,80.25233138,2.65E-05,1.86E-05,0.001485681,0.221964901,30.15286228,0.007361321,0.001874091,0.515510975,4.25E-06
1908.3994,5,-0.0215285,80.25230616,2.74E-05,1.84E-05,0.001542199,0.223922156,30.15401753,0.007425948,0.001929148,0.530256532,4.37E-06
1908.499,5,-0.0237,80.2522406,2.65E-05,1.83E-05,0.001699429,0.225877051,30.15521635,0.00749048,0.002048302,0.523783142,4.71E-06
1908.5986,5,-0.0237,80.25218256,2.06E-05,1.76E-05,0.002177197,0.227812279,30.15654687,0.007554322,0.002147008,0.524079195,5.00E-06
1908.6982,5,-0.0237,80.252166,2.31E-05,1.82E-05,0.002097492,0.2298112,30.15766538,0.007620325,0.002213276,0.535113573,5.09E-06
1908.7979,5,-0.0237,80.25215084,2.49E-05,1.79E-05,0.002111738,0.231774021,30.15880497,0.00768512,0.002323773,0.53153919,5.17E-06
1908.8975,5,-0.0237,80.252111,2.68E-05,1.71E-05,0.00214823,0.233681568,30.15992258,0.007748082,0.002413676,0.534749274,5.37E-06
1908.9971,5,-0.0237,80.25207116,2.80E-05,1.52E-05,0.0022869,0.235805444,30.16121068,0.007818169,0.002541015,0.525566692,5.57E-06
1909.0967,5,-0.025687917,80.25197777,2.40E-05,1.09E-05,0.002856795,0.238273258,30.16288981,0.00789955,0.002590846,0.542042424,6.05E-06
1909.1963,5,-0.0302,80.25194239,2.00E-05,1.03E-05,0.00321941,0.240973664,30.16461071,0.007988622,0.002624376,0.563914235,6.23E-06
1909.2959,5,-0.0302,80.25189591,2.18E-05,1.23E-05,0.003090547,0.243721466,30.16613965,0.008079306,0.002716296,0.566456583,6.46E-06
1909.3955,5,-0.0302,80.2518558,2.81E-05,1.42E-05,0.002713412,0.24666439,30.16767044,0.008176448,0.002725343,0.596433359,6.67E-06
1909.4951,5,-0.0302,80.25181596,2.37E-05,1.32E-05,0.003111084,0.249607943,30.16954737,0.008273506,0.002821757,0.597488261,6.87E-06
1909.5947,5,-0.023818333,80.25177977,2.49E-05,1.35E-05,0.003119776,0.252541891,30.17124517,0.008370284,0.002865031,0.616134607,7.05E-06
1909.6943,5,-0.0162,80.25174199,2.55E-05,1.49E-05,0.003091806,0.255674396,30.17304124,0.008473604,0.00290874,0.634636924,7.25E-06
1909.7939,5,-0.0162,80.25171276,2.39E-05,1.38E-05,0.003336387,0.259030677,30.17508814,0.008584256,0.003042475,0.623336695,7.40E-06
1909.8936,5,-0.0162,80.25169128,2.78E-05,1.46E-05,0.003152003,0.262368326,30.17693285,0.008694334,0.003233645,0.593056277,7.51E-06
1909.9932,5,-0.0162,80.25167025,2.41E-05,1.50E-05,0.003431144,0.265452315,30.17883796,0.008795975,0.003296496,0.605221696,7.61E-06
1910.0928,5,-0.0162,80.25164701,2.74E-05,1.53E-05,0.003314784,0.268245719,30.18039881,0.008888077,0.003386147,0.608515202,7.73E-06
1910.1924,5,-0.0162,80.25162377,3.23E-05,1.60E-05,0.003088714,0.270945684,30.18185674,0.008977105,0.003460782,0.616779781,7.85E-06
1910.292,5,-0.0162,80.25157907,2.91E-05,1.70E-05,0.003310091,0.273516627,30.18343987,0.009061811,0.003499402,0.636966692,8.08E-06
1910.3916,5,-0.0129,80.25154007,2.49E-05,1.59E-05,0.003712958,0.275665061,30.18486007,0.009132561,0.00353793,0.657184008,8.28E-06
1910.4912,5,-0.0129,80.25152347,3.04E-05,1.72E-05,0.003418854,0.277551998,30.18581823,0.009194781,0.003620635,0.662777184,8.36E-06
1910.5908,5,-0.0129,80.25150384,3.25E-05,1.89E-05,0.003302308,0.279484081,30.18688171,0.009258461,0.003733485,0.658390629,8.46E-06
1910.6904,5,-0.0129,80.25148627,2.91E-05,1.76E-05,0.003671847,0.281427077,30.18816842,0.00932243,0.003887096,0.640510721,8.55E-06
1910.79,5,-0.0129,80.25146633,2.64E-05,1.62E-05,0.004003664,0.283404031,30.1894579,0.009387516,0.003986261,0.640654953,8.65E-06
1910.8896,5,-0.017192,80.25143421,3.39E-05,1.82E-05,0.003558407,0.285397581,30.19041016,0.009453253,0.004096085,0.637270334,8.81E-06
1910.9893,5,-0.0216,80.25139721,2.83E-05,1.79E-05,0.00399786,0.287476833,30.19180674,0.009521684,0.004139161,0.656015228,9.00E-06
1911.0889,5,-0.0216,80.25136896,3.30E-05,2.13E-05,0.003625279,0.289660823,30.19290139,0.009593673,0.004146167,0.686667685,9.15E-06
1911.1885,5,-0.0216,80.25134145,3.23E-05,1.99E-05,0.00384397,0.292084212,30.19439814,0.009673457,0.004190244,0.705048281,9.29E-06
1911.2881,5,-0.02225475,80.25131049,3.13E-05,2.03E-05,0.00397309,0.294594266,30.19590494,0.0097561,0.004297523,0.702506035,9.44E-06
1911.3877,5,-0.03030575,80.25126733,3.65E-05,2.13E-05,0.003706435,0.297064831,30.19721232,0.009837492,0.004390108,0.704828317,9.66E-06
1911.4873,5,-0.0313,80.25114435,3.42E-05,2.00E-05,0.004015438,0.299519096,30.19876719,0.009918256,0.004483793,0.7067863,1.03E-05
1911.5869,5,-0.031484,80.25109478,3.16E-05,2.05E-05,0.004230789,0.301950143,30.20026687,0.009998261,0.00450859,0.731549376,1.05E-05
1911.6865,5,-0.03414,80.2510483,3.43E-05,2.21E-05,0.004080241,0.304319052,30.20156737,0.010076267,0.004626714,0.725417316,1.08E-05
1911.7861,5,-0.0345,80.25100469,3.06E-05,2.11E-05,0.004444315,0.306678542,30.20309211,0.010153879,0.004717419,0.728361956,1.10E-05
1911.8857,5,-0.0345,80.25095277,3.44E-05,2.26E-05,0.004235217,0.309248983,30.20448283,0.010238513,0.004782907,0.739654444,1.13E-05
1911.9854,5,-0.0345,80.25090081,3.47E-05,2.24E-05,0.004321021,0.311895506,30.2060491,0.010325598,0.004958831,0.714420881,1.15E-05
1912.085,5,-0.026416667,80.25085433,3.19E-05,2.17E-05,0.004614728,0.314606182,30.20774519,0.010414752,0.005031449,0.723353145,1.18E-05
1912.1846,5,-0.0151,80.25082077,3.24E-05,2.26E-05,0.004632298,0.317178877,30.20923837,0.0104994,0.005061931,0.746234225,1.19E-05
1912.2842,5,-0.0151,80.25079863,3.09E-05,2.28E-05,0.004795195,0.319746863,30.2107937,0.010583862,0.005127671,0.757443341,1.21E-05
1912.3838,5,-0.0151,80.25078045,3.24E-05,2.23E-05,0.004835401,0.32198578,30.21210428,0.010657509,0.005218674,0.76028933,1.21E-05
1912.4834,5,-0.014459667,80.250758,3.08E-05,2.26E-05,0.005013567,0.323902135,30.21329021,0.010720518,0.005345096,0.751409982,1.23E-05
1912.583,5,0.004298333,80.250758,3.50E-05,2.32E-05,0.004833555,0.32576263,30.21428403,0.010781743,0.00548862,0.736869366,1.23E-05
1912.6826,5,0.0075,80.25076626,3.48E-05,2.38E-05,0.004911641,0.327402693,30.21526577,0.010835671,0.005596312,0.734190323,1.22E-05
